Date,Time,COOK AND PHILLIP AQI hourly AQI [index]
1/12/2019,1:00,87
1/12/2019,2:00,81
1/12/2019,3:00,83
1/12/2019,4:00,78
1/12/2019,5:00,69
1/12/2019,6:00,65
1/12/2019,7:00,58
1/12/2019,8:00,52
1/12/2019,9:00,49
1/12/2019,10:00,47
1/12/2019,11:00,46
1/12/2019,12:00,46
1/12/2019,13:00,46
1/12/2019,14:00,45
1/12/2019,15:00,46
1/12/2019,16:00,49
1/12/2019,17:00,47
1/12/2019,18:00,48
1/12/2019,19:00,48
1/12/2019,20:00,51
1/12/2019,21:00,50
1/12/2019,22:00,134
1/12/2019,23:00,155
1/12/2019,24:00:00,78
2/12/2019,1:00,79
2/12/2019,2:00,80
2/12/2019,3:00,81
2/12/2019,4:00,80
2/12/2019,5:00,80
2/12/2019,6:00,78
2/12/2019,7:00,77
2/12/2019,8:00,79
2/12/2019,9:00,79
2/12/2019,10:00,77
2/12/2019,11:00,76
2/12/2019,12:00,74
2/12/2019,13:00,68
2/12/2019,14:00,69
2/12/2019,15:00,69
2/12/2019,16:00,195
2/12/2019,17:00,194
2/12/2019,18:00,130
2/12/2019,19:00,383
2/12/2019,20:00,252
2/12/2019,21:00,180
2/12/2019,22:00,191
2/12/2019,23:00,185
2/12/2019,24:00:00,178
3/12/2019,1:00,177
3/12/2019,2:00,177
3/12/2019,3:00,176
3/12/2019,4:00,177
3/12/2019,5:00,178
3/12/2019,6:00,180
3/12/2019,7:00,181
3/12/2019,8:00,182
3/12/2019,9:00,282
3/12/2019,10:00,407
3/12/2019,11:00,285
3/12/2019,12:00,288
3/12/2019,13:00,299
3/12/2019,14:00,303
3/12/2019,15:00,306
3/12/2019,16:00,306
3/12/2019,17:00,299
3/12/2019,18:00,293
3/12/2019,19:00,280
3/12/2019,20:00,253
3/12/2019,21:00,236
3/12/2019,22:00,227
3/12/2019,23:00,233
3/12/2019,24:00:00,244
4/12/2019,1:00,253
4/12/2019,2:00,259
4/12/2019,3:00,269
4/12/2019,4:00,275
4/12/2019,5:00,276
4/12/2019,6:00,275
4/12/2019,7:00,275
4/12/2019,8:00,275
4/12/2019,9:00,262
4/12/2019,10:00,240
4/12/2019,11:00,214
4/12/2019,12:00,203
4/12/2019,13:00,206
4/12/2019,14:00,211
4/12/2019,15:00,223
4/12/2019,16:00,233
4/12/2019,17:00,237
4/12/2019,18:00,239
4/12/2019,19:00,236
4/12/2019,20:00,227
4/12/2019,21:00,230
4/12/2019,22:00,227
4/12/2019,23:00,211
4/12/2019,24:00:00,199
5/12/2019,1:00,190
5/12/2019,2:00,184
5/12/2019,3:00,175
5/12/2019,4:00,170
5/12/2019,5:00,172
5/12/2019,6:00,177
5/12/2019,7:00,183
5/12/2019,8:00,187
5/12/2019,9:00,190
5/12/2019,10:00,195
5/12/2019,11:00,201
5/12/2019,12:00,198
5/12/2019,13:00,617
5/12/2019,14:00,203
5/12/2019,15:00,351
5/12/2019,16:00,251
5/12/2019,17:00,252
5/12/2019,18:00,271
5/12/2019,19:00,217
5/12/2019,20:00,225
5/12/2019,21:00,227
5/12/2019,22:00,228
5/12/2019,23:00,231
5/12/2019,24:00:00,233
6/12/2019,1:00,236
6/12/2019,2:00,237
6/12/2019,3:00,239
6/12/2019,4:00,238
6/12/2019,5:00,238
